date,headline,url,source,topic
2026-05-20,"VITL Investor Alert: Vital Farms, Inc. Securities Fraud Lawsuit - Investors With Losses May Seek to Lead the Class Action After Company Allegedly Filed Inadequate Disclosures: Levi & Korsinsky - PR Newswire",https://news.google.com/rss/articles/CBMi4AJBVV95cUxOMDBnQzdrTHhIUFV4S3JXdFlHbzdWajJhNUF0eTRnUUtEN3lrb3VWNDNHRXk4V2xfa1ROcDZpQ18yejAyOXlGUVR4ODJwZGpOSVFTeTZUeXlZRHRiTnFjNTdGX0VUZ29DdDNWNjJRbGV0NmR6TVJFSVcwTlc4MHpwaGIydFpqT2l2TV9RU1dlaWZhQkxxRmhlb0FtM1h0bUpfclFxdUdmaVZFWVpoSTJnbkhaNjAwTDhpV0pJeHRLM1NVM21nVlV1eWpKTzAyTzN3dk1BeU8zNjBWSXBITW5Sb1ctN0dCYktKQkVVaWw2dVl1TWgwZTUtb2dULTFROFFfSTc2d0VqNmNXQkFfeWMyY0E3R3pJTGRDdTB4V0Y0VUtjczgzVFJualNTLUI3bTVKZjlUejFVcjlTVG1wZTFOWDBmS05udHBxbXpTMHNCeGFwSjg4QzhIN256cVhHbVBl?oc=5,google.news,erp_lawsuit
2026-05-20,Insiders Load Up on Vital Farms Stock in a Fresh Wave of Buying - TipRanks,https://news.google.com/rss/articles/CBMiygFBVV95cUxQQ1phS0U4TzUyRXdVbzVQcDY3d1hETXpMdXFKV0p1WEM1T2loZnEwQklYd2tyQ3pzRTRXRTZsaVA2dnBPRnNDd2hWaWxGY2ktWHNxNWVmd21pMDNmQzJYZXBFTUFQdTNaTktUUWR2V3o1d2lsVUJ4SEJkVy1PSHdTcFp3c2hOcTZFVzJyYWtINHNpVWNHQmxLUGpBS0pMd2M4ODk2VmtIM3YzRFVlaGMxVEJILUJsWTk1VlIwRlZiS1JuRWhQQUVwcnZn?oc=5,google.news,other
2026-05-20,Italy launches pilot vaccination programme against avian influenza - Poultry World,https://news.google.com/rss/articles/CBMivAFBVV95cUxNOXZHYkFfUG95ODhtbGRCWVVVNzRpY3VXSUhGRENoaUxvSWVjOVN2dmdUQmxpaXFjajJ2NTVXazdxMDNCWjQ3dmtxcVUtckNSWDl5eHJmVW9rUjlNa1hMNVNwSmtRUUZfUlYxd1hzMDV0bnpBNEprMFZMS1BrcmhncmF1OVhsODBGdmtZTldkQXhENWswVnk4ZTlvb0NnM3VtVmx3VUZhdlJhUFd5ZThCUG5qaS1UbGFPMnczOA?oc=5,google.news,launch
2026-05-20,Italy Launches HPAI Vaccination Pilot - PoultryMed,https://news.google.com/rss/articles/CBMiWEFVX3lxTE1SNlYxckMyaTV0V0pNYm9hcUJXd012WS1hdjlnTUxFQ1BiWkNkM3BNM1RxZno4dFFMZV9UQmpIWDZULVRJc09iejRVLTBDREZWbkdFZ1VFc0E?oc=5,google.news,supply
2026-05-20,Norway Veterinary Institute Reports HPAI H5N5 In Polar Bears on Svalbard Island - Avian Flu Diary,https://news.google.com/rss/articles/CBMihgFBVV95cUxQZEJUNVR6OXBlMEIzSlZ2a0pCY29vMjJSZmdxMUZPQlpZdktHNjc1dEVLZ2hYeTVpbTVldW84X3l2b2JfMzVKUURlYUNxaXJKZWN5ZllxMUtVNnFQYVhkY19EM2hidkE0dVlFZkxBWjRDdWRuUUpqZ01NVy1XME1RYnMydEhOZw?oc=5,google.news,supply
2026-05-19,"Vital Farms director buys 6,151 shares in open market | VITL Insider Trading - Stock Titan",https://news.google.com/rss/articles/CBMirgFBVV95cUxONnRTOElhX1ZhUWxpV2IzU3ktZW9uNlBmd09zLXV6emNZYkZOOHAxVFItUHRsMi12OHhGYnowd25FdXhOWjFGajhKOU95YWNEc21HRTdDbl9mOWd0clo3aTVyM0YtaG8yUWh4ZjA2Tjhqd3FIVFg1RU1pR3dTMGo2a2c0NjJhWEFZZGVwelhjcGQ5akhqLWtyQTlnd2ZPY2R4OVRWdGludXI2TnJqUXc?oc=5,google.news,financial
2026-05-19,Vital Farms (VITL) CLO Joanne Bal acquires 500 ESPP shares at $7.21 - Stock Titan,https://news.google.com/rss/articles/CBMirgFBVV95cUxNTjA5MXdSa2N2YVBXLW5aZjRES3ZWaU1sT0xmR2dxdjNBN28xSVBEYmFhYUl0X085NzhYdEdrSThEN1hGR1VYby0wcEItd3pxR0pkbkpJQVM4SkhYVlJnaWY0bnlubEZOQjJxSHFOYXZfN1VMcE9HRjVHY1dFbTlsTS1mVHlWLTJkUV9UdHhKbVNCM3NxV0xDeEpSdWJXQVdMajAwRnpXR3BBbW1OTGc?oc=5,google.news,financial
2026-05-19,$VITL stock is up 9% today. Here's what we see in our data. - Quiver Quantitative,https://news.google.com/rss/articles/CBMingFBVV95cUxQSEhkZWIyNHdhb0pIR1RGSFc0a1YwcUlMSWVyVFNKUzVyZlFIclg2M2xQWXdwSTVoV04xSGN3cFJOVGVfWEJSWlVGcF9Pc0ZHaXgtWE9QTFJROFVheFNTejVWWTRuS2hYTmtvNDFaZDBvSHhCbTVpaDBDbFRtWXUyS2dydzN3UWs1SFh6N2Z6WV9xN1g0RUcxYlZrR0tOdw?oc=5,google.news,other
2026-05-19,Europe’s first case of bird flu in a polar bear reported in Norway - The Independent,https://news.google.com/rss/articles/CBMijAFBVV95cUxQR19hUHVWNVZxRjd4VndzSXd1T0tBZ08xMmoxTGxrSzFMTlhjRWgwSzdHbFRUOG8yNnRZUnRndmpWbjk5QlNZZnVad2NFQ2xTNHhhWHpJTEhjcnlYRno4cGpXZzFRckN0MEpWU1VlazlDNmd4bHBrZ0hSMHliWjBJWGF6c1BObXpQNDNZOQ?oc=5,google.news,supply
2026-05-19,"Portnoy Law Firm Announces Class Action on Behalf of Vital Farms, Inc. Investors - GlobeNewswire",https://news.google.com/rss/articles/CBMi5AFBVV95cUxQbk1fcVZNYndObGxqa2c3Q19zRHhaUms4azQtckVHOXV2N3lSa1lEbGxVSDZrZnpPTng3dW9hUE9qS1BMQUpuUmNlZUNfTWFPbXlWMkdKZnNTakc4Ynp1ckI3QkJiWGduZGdXbnFwdjVody1ub04tbnZ1QXg2dFJpLVF6NEZRdnFRTjNwN3NRcWdpZkk1OTZnX2RESUJRdVUza2ZDUWE3dzhtTlJqcUkwc1JxNlA2bzZMdnhXU241VWVINW55Q2dDb0d6Z3BDQXFTMUxQTlVqR3RfN3FncjlHZXg0WnE?oc=5,google.news,erp_lawsuit
2026-05-19,Ex-U.S. Bank exec joins Helport AI board amid AI governance push - Stock Titan,https://news.google.com/rss/articles/CBMivwFBVV95cUxNNUh6SkhXMGRxUEIta2QwX3FUTGd2TU9tajFzcUljRm1lNTZmeHZ0cTdwSDhXd1dUTWdTUU15cjZIS2ZYSm9nc2tpOW5hMllWVGUtWTRKMWhIRzA1RzVOQlVxU1M0NnN6TXpNN3hsTmFHd2QxS0U3OVYyVURYSUdiYmU0T195ZEtReUYyNTZibTY1eWZpMlh4Q2xtbkx1MTd3eG9nVXBCRU1QTlp6VTQtQnVnVFJkOFI2WlMwcUEybw?oc=5,google.news,other
2026-05-19,Insider Buying: Stephanie Coon Acquires Shares of Vital Farms In - GuruFocus,https://news.google.com/rss/articles/CBMirAFBVV95cUxNMlA1X2RfU0tlUTNiaUc3TDZPeF9fMmFtTDJQZW15ajZaZ3VaZ1QxMUFTOEVLcnk2SURNdzlwTndSMklhaFFtQU1hazF1YTNiUDFjd1lQendyMkVoTEp0eEdLYUZmdmV4YVp2U0RQcko4cXl5ZmZTQmVlbUR3bzE0Ql9HNFMySnpWN3JWcDEwUjNHRlFSbE9uamlEcE94azdTaHNfdlRnN3pJcHFq?oc=5,google.news,financial
2026-05-19,"Kofi Owusu Amoo-Gottfried Acquires 2,375 Shares of Vital Farms (NASDAQ:VITL) Stock - MarketBeat",https://news.google.com/rss/articles/CBMizAFBVV95cUxNT09jdlNEdkplNDdWVVBoWlkzOV83dnNPLWJXTXg3XzRsbm8zNVoxLXRtQUp1Y3dCV1FaakpHaDVfU0wxWFBQQWpCR3RJdklDVXFQUnBERWhzWU80ckVhbGlwTWQwc1JlOW1Dck1QWmc3b2ZXd25jeDdJNk1NRWJOSE9VMnlFV1AyMVRtNjhhRjA3bHJBMzVuUjQ0OW9hTVp0TDdLTGs4X1VSMUpKUlZSWEtvbHY0aGZuRE53ZElGaW0wWW51WVdQWWYzcGI?oc=5,google.news,financial
2026-05-19,Researchers Find Mutations Influencing HPAI Vaccine Efficacy - Meatingplace,https://news.google.com/rss/articles/CBMijwFBVV95cUxPUVg0Um9aRmhaNDFJbHN5U2dEMGRSQ3U4WWl3VENmYS0wWlg2N19TVk1jWi1mRS1jUDh0WVJQZ1lfd1FJMGJ2ckg0Nmg3LUppNVljZXlBQWFTSlY3QkR0OE1ZWUNNT29rcU50a19KRTNodzd3YW13SFdKTlNPNTNoYnA3OEs1R25TVFFiWUtMMA?oc=5,google.news,supply
2026-05-19,Vital Farms (VITL) director makes open-market Common Stock purchase - Stock Titan,https://news.google.com/rss/articles/CBMirgFBVV95cUxPaFAtY0RSMlF5U2JmR2t1NFRGcjRJeXVaa1o5aktNZlNtUkhVOHF5bHdoeXU3d1VxMGdFZThtbGhiQS11OFk2LUZzSjcxcnlfMFljRlpWalJkRGxZTy1MSWZPQ0hheGg5WllDeW14NFJ1bUlIcjA4UjV2UU1TNWRmTTVkbEltVFJhdm0zSm5mX0c0QllLVzVfVEtQZVJGMmtMVjFqYWlSWWVFWlVWdWc?oc=5,google.news,other
